player,computer,result,timestamp
rock,scissors,win,2025-09-17 15:33:23
rock,rock,draw,2025-09-17 15:33:25
rock,rock,draw,2025-09-17 15:33:26
rock,paper,lose,2025-09-17 15:33:28
rock,rock,draw,2025-09-17 15:33:30
rock,paper,lose,2025-09-17 15:33:31
rock,paper,lose,2025-09-17 15:33:31
rock,paper,lose,2025-09-17 15:33:32
rock,paper,lose,2025-09-17 15:33:32
rock,paper,lose,2025-09-17 15:33:33
rock,paper,lose,2025-09-17 15:33:33
rock,paper,lose,2025-09-17 15:33:33
rock,paper,lose,2025-09-17 15:33:34
rock,paper,lose,2025-09-17 15:33:34
rock,paper,lose,2025-09-17 15:33:34
rock,paper,lose,2025-09-17 15:33:34
rock,paper,lose,2025-09-17 15:33:35
rock,paper,lose,2025-09-17 15:33:35
rock,paper,lose,2025-09-17 15:33:35
rock,paper,lose,2025-09-17 15:33:36
rock,paper,lose,2025-09-17 15:33:36
rock,paper,lose,2025-09-17 15:33:36
rock,paper,lose,2025-09-17 15:33:37
rock,paper,lose,2025-09-17 15:33:37
rock,paper,lose,2025-09-17 15:33:37
rock,paper,lose,2025-09-17 15:33:37
rock,paper,lose,2025-09-17 15:33:38
rock,paper,lose,2025-09-17 15:33:39
rock,paper,lose,2025-09-17 15:33:40
rock,paper,lose,2025-09-17 15:33:40
rock,paper,lose,2025-09-17 15:33:41
rock,paper,lose,2025-09-17 15:33:42
rock,paper,lose,2025-09-17 15:33:42
rock,paper,lose,2025-09-17 15:33:43
rock,paper,lose,2025-09-17 15:33:43
rock,paper,lose,2025-09-17 15:33:43
rock,paper,lose,2025-09-17 15:33:43
rock,paper,lose,2025-09-17 15:33:44
rock,paper,lose,2025-09-17 15:33:44
rock,paper,lose,2025-09-17 15:33:44
rock,paper,lose,2025-09-17 15:33:45
rock,paper,lose,2025-09-17 15:33:46
rock,paper,lose,2025-09-17 15:33:53
rock,paper,lose,2025-09-17 15:33:54
rock,paper,lose,2025-09-17 15:33:54
rock,paper,lose,2025-09-17 15:33:55
rock,paper,lose,2025-09-17 15:33:55
rock,paper,lose,2025-09-17 15:33:55
rock,paper,lose,2025-09-17 15:33:56
rock,paper,lose,2025-09-17 15:33:56
rock,paper,lose,2025-09-17 15:33:56
rock,paper,lose,2025-09-17 15:33:56
rock,paper,lose,2025-09-17 15:33:57
rock,paper,lose,2025-09-17 15:33:57
rock,paper,lose,2025-09-17 15:33:57
rock,paper,lose,2025-09-17 15:33:58
rock,paper,lose,2025-09-17 15:33:58
rock,paper,lose,2025-09-17 15:33:58
rock,paper,lose,2025-09-17 15:33:58
rock,paper,lose,2025-09-17 15:33:59
rock,paper,lose,2025-09-17 15:34:00
rock,paper,lose,2025-09-17 15:35:15
paper,paper,draw,2025-09-17 15:35:21
paper,paper,draw,2025-09-17 15:35:23
paper,rock,win,2025-09-17 15:35:24
paper,rock,win,2025-09-17 15:35:25
paper,paper,draw,2025-09-17 15:35:27
paper,paper,draw,2025-09-17 15:35:28
paper,scissors,lose,2025-09-17 15:35:29
paper,paper,draw,2025-09-17 15:35:30
paper,rock,win,2025-09-17 15:35:31
paper,scissors,lose,2025-09-17 15:35:32
paper,paper,draw,2025-09-17 15:35:32
paper,scissors,lose,2025-09-17 15:35:33
paper,scissors,lose,2025-09-17 15:35:34
paper,rock,win,2025-09-17 15:35:35
paper,paper,draw,2025-09-17 15:35:36
paper,scissors,lose,2025-09-17 15:35:36
paper,scissors,lose,2025-09-17 15:35:37
paper,scissors,lose,2025-09-17 15:35:38
paper,scissors,lose,2025-09-17 15:35:39
paper,scissors,lose,2025-09-17 15:35:39
paper,scissors,lose,2025-09-17 15:35:40
paper,scissors,lose,2025-09-17 15:35:40
paper,scissors,lose,2025-09-17 15:35:41
paper,scissors,lose,2025-09-17 15:35:41
paper,scissors,lose,2025-09-17 15:35:41
paper,scissors,lose,2025-09-17 15:35:42
paper,scissors,lose,2025-09-17 15:35:42
paper,scissors,lose,2025-09-17 15:35:42
paper,scissors,lose,2025-09-17 15:35:42
paper,scissors,lose,2025-09-17 15:35:43
paper,scissors,lose,2025-09-17 15:35:43
paper,scissors,lose,2025-09-17 15:35:43
paper,scissors,lose,2025-09-17 15:35:44
paper,scissors,lose,2025-09-17 15:35:44
paper,scissors,lose,2025-09-17 15:35:44
paper,scissors,lose,2025-09-17 15:35:44
scissors,scissors,draw,2025-09-17 15:35:48
scissors,paper,win,2025-09-17 15:35:49
scissors,paper,win,2025-09-17 15:35:49
scissors,scissors,draw,2025-09-17 15:35:50
scissors,paper,win,2025-09-17 15:35:50
scissors,rock,lose,2025-09-17 15:35:50
scissors,rock,lose,2025-09-17 15:35:51
scissors,rock,lose,2025-09-17 15:35:51
scissors,rock,lose,2025-09-17 15:35:51
scissors,rock,lose,2025-09-17 15:35:52
scissors,rock,lose,2025-09-17 15:35:52
scissors,rock,lose,2025-09-17 15:35:52
scissors,rock,lose,2025-09-17 15:35:53
scissors,rock,lose,2025-09-17 15:35:54
rock,rock,draw,2025-09-17 15:35:54
scissors,rock,lose,2025-09-17 15:35:56
paper,scissors,lose,2025-09-17 15:35:58
scissors,paper,win,2025-09-17 15:35:59
scissors,scissors,draw,2025-09-17 15:36:01
rock,rock,draw,2025-09-17 15:36:02
scissors,scissors,draw,2025-09-17 15:36:04
scissors,scissors,draw,2025-09-17 15:36:05
scissors,paper,win,2025-09-17 15:36:08
rock,rock,draw,2025-09-17 15:36:10
rock,paper,lose,2025-09-17 15:36:12
scissors,paper,win,2025-09-17 15:36:15
rock,rock,draw,2025-09-17 15:36:16
paper,paper,draw,2025-09-17 15:36:18
paper,paper,draw,2025-09-17 15:36:19
scissors,scissors,draw,2025-09-17 15:36:21
paper,paper,draw,2025-09-17 15:36:25
paper,rock,win,2025-09-17 15:36:26
rock,scissors,win,2025-09-17 15:36:28
